date,open,high,low,adjClose,value,volume,count,close
2004-09-20,22000.0,22000.0,22000.0,22000.0,7789650000,354075,252,22000.0
2004-09-21,23100.0,23100.0,22034.0,22034.0,2604361066,118149,515,22034.0
2004-09-22,23135.0,23135.0,22515.0,22515.0,324115150,14010,17,22515.0
2004-09-26,22517.0,22530.0,22010.0,22396.0,505488828,22619,46,22396.0
2004-09-27,22440.0,22440.0,22000.0,22119.0,544787190,24720,28,22119.0
2004-09-28,22119.0,22119.0,21300.0,22101.0,36717510,1685,4,22101.0
2004-09-29,21300.0,22083.0,21300.0,22083.0,15130830,710,2,22083.0
2004-10-02,21000.0,21985.0,21000.0,21985.0,60468850,2879,7,21985.0
2004-10-04,20886.0,21985.0,20886.0,21985.0,1201492,57,2,21985.0
2004-10-05,20886.0,22110.0,20886.0,21420.0,640803386,29969,39,21420.0
2004-10-06,22110.0,22110.0,21421.0,21421.0,1319710,60,3,21421.0
2004-10-09,22000.0,22000.0,21421.0,21421.0,1204210,55,2,21421.0
2004-10-10,21400.0,21400.0,20700.0,21356.0,61798360,2982,5,21356.0
2004-10-11,20700.0,21421.0,20600.0,21344.0,163610377,7678,13,21344.0
2004-10-12,21305.0,21340.0,21305.0,21340.0,64298840,3018,6,21340.0
2004-10-13,22000.0,22000.0,21364.0,21364.0,25975640,1181,4,21364.0
2004-10-16,21364.0,21364.0,21364.0,21364.0,5341000,250,1,21364.0
2004-10-19,21364.0,21364.0,21364.0,21364.0,940016,44,1,21364.0
2004-10-20,21986.0,21986.0,21366.0,21366.0,2720064,124,3,21366.0
2004-10-24,21927.0,22434.0,21529.0,21529.0,169495111,7688,15,21529.0
2004-10-25,22592.0,22605.0,21954.0,21954.0,288388224,12763,12,21954.0
2004-10-26,23049.0,23050.0,22023.0,22023.0,47124970,2045,3,22023.0
2004-10-27,22023.0,22023.0,22023.0,22023.0,3854025,175,3,22023.0
2004-10-30,22073.0,22073.0,22023.0,22023.0,19559401,887,4,22023.0
2004-10-31,22023.0,22500.0,22023.0,22339.0,503517817,22403,7,22339.0
2004-11-01,22000.0,22334.0,22000.0,22334.0,9991340,454,2,22334.0
2004-11-02,21218.0,22297.0,21218.0,22297.0,43634050,2006,4,22297.0
2004-11-03,21976.0,22294.0,21960.0,22294.0,5343318,243,4,22294.0
2004-11-06,21950.0,22291.0,21950.0,22291.0,5183610,236,2,22291.0
2004-11-08,21180.0,22277.0,21180.0,22277.0,8839770,416,3,22277.0
2004-11-13,21190.0,22272.0,21190.0,22272.0,5962160,274,3,22272.0
2004-11-15,21180.0,22920.0,21180.0,22089.0,354318392,16170,18,22089.0
2004-11-24,22088.0,22089.0,22088.0,22088.0,20056552,908,3,22088.0
2005-01-03,22497.0,22497.0,22496.0,22496.0,44993000,2000,2,22496.0
2005-01-05,22328.0,22492.0,22328.0,22492.0,17194200,770,4,22492.0
2005-01-08,22200.0,22446.0,22200.0,22446.0,111224460,5010,5,22446.0
2005-01-11,21324.0,22442.0,21324.0,22442.0,2207552,103,2,22442.0
2005-01-19,21320.0,22410.0,21320.0,22410.0,19369460,908,3,22410.0
2005-02-09,21290.0,22401.0,21290.0,22401.0,5674250,266,2,22401.0
2005-02-27,21281.0,21281.0,21281.0,21281.0,10640500,500,1,21281.0
2005-03-13,20217.0,21207.0,20217.0,21207.0,44790555,2215,4,21207.0
2005-03-29,20147.0,20147.0,20147.0,20147.0,10073500,500,1,20147.0
2005-04-10,19140.0,19140.0,19140.0,19140.0,532551360,27824,20,19140.0
2005-04-11,19140.0,19140.0,19140.0,19140.0,1148400,60,1,19140.0
2005-04-17,19997.0,20097.0,19184.0,19184.0,20130019340,1001650,6,19184.0
2005-04-23,19180.0,20097.0,19180.0,19294.0,20249654320,1007700,5,19294.0
2005-04-30,20143.0,20143.0,19294.0,19294.0,273512,14,2,19294.0
2005-05-02,19310.0,19310.0,19294.0,19294.0,2123940,110,2,19294.0
2005-05-10,19390.0,19390.0,19294.0,19294.0,4070940,210,2,19294.0
2005-05-16,19294.0,19294.0,19294.0,19294.0,12869098,667,4,19294.0
2005-06-06,19293.0,19293.0,19293.0,19293.0,4958301,257,1,19293.0
2005-06-12,19250.0,19292.0,19250.0,19292.0,10126226,526,3,19292.0
2005-06-18,19208.0,19291.0,19208.0,19291.0,3170150,165,2,19291.0
2005-09-13,18327.0,19260.0,18327.0,19260.0,18519600,1010,5,19260.0
2005-09-14,18297.0,18297.0,18297.0,18297.0,19251810648,1052184,11,18297.0
2005-11-20,17379.0,19400.0,17379.0,18342.0,522456840,28484,13,18342.0
2005-11-23,18342.0,18342.0,18342.0,18342.0,3191508,174,1,18342.0
2005-12-25,19000.0,19000.0,19000.0,19000.0,19000000,1000,1,19000.0
2006-01-17,18890.0,18999.0,18890.0,18999.0,1512290,80,2,18999.0
2006-01-31,18697.0,18998.0,18697.0,18998.0,2171862,116,2,18998.0
2006-07-12,18619.0,18965.0,18619.0,18965.0,51336043,2757,6,18965.0
2006-07-19,18965.0,18965.0,18965.0,18965.0,42917795,2263,5,18965.0
